Id	Categories	Description
ENOG410XNPZ	S	monooxygenase
ENOG410XNQ0	T	CAMK family protein kinase
ENOG410XNQ1	S	Plays a role in anterograde intraflagellar transport (IFT), the process by which cilia precursors are transported from the base of the cilium to the site of their incorporation at the tip
ENOG410XNQ3	S	NA
ENOG410XNQ5	S	Putative trans-membrane protein
ENOG410XNQ6	G	Major Facilitator superfamily
ENOG410XNQ7	S	NA
ENOG410XNQ8	S	alkaline phosphatase
ENOG410XNQ9	O	peptidase (S8 and S53, subtilisin, kexin, sedolisin
ENOG410XNQA	K	LysR family (Transcriptional regulator
ENOG410XNQB	S	NA
ENOG410XNQC	S	beige BEACH domain containing protein
ENOG410XNQE	U	Adaptor-related protein complex 2, alpha
ENOG410XNQF	L	Replication protein
ENOG410XNQG	U	Gamma-aminobutyric acid (GABA) A receptor
ENOG410XNQH	S	MSHA biogenesis protein MshQ
ENOG410XNQI	S	domain protein
ENOG410XNQJ	S	NA
ENOG410XNQK	G	Transporter
ENOG410XNQM	S	proprotein convertase, P
ENOG410XNQN	M	Glycosyl transferase family 2
ENOG410XNQP	T	NIMA-related kinase
ENOG410XNQQ	J	U3 small nucleolar RNA-associated protein 10
ENOG410XNQR	P	Transporter
ENOG410XNQS	S	ribosomal small subunit binding
ENOG410XNQV	S	glucose-inhibited division protein A
ENOG410XNQW	T	nucleotide-binding protein
ENOG410XNQX	S	Cyclin Y
ENOG410XNQY	K	Mediator complex subunit 8
ENOG410XNQZ	S	Nucleotidyl transferase of unknown function (DUF1814)
ENOG410XNR0	S	ATPase involved in DNA repair 
ENOG410XNR2	K	Transcriptional regulator
ENOG410XNR3	S	NA
ENOG410XNR4	S	fad dependent oxidoreductase
ENOG410XNR5	S	Zinc finger, C3HC4 type (RING finger)
ENOG410XNR6	S	dihydrodipicolinate synthetase
ENOG410XNR7	S	BAHD family acyltransferase
ENOG410XNR8	S	NIPA-like domain containing
ENOG410XNR9	T	serine threonine-protein phosphatase
ENOG410XNRA	S	Extracellular solute-binding protein, family 5
ENOG410XNRB	T	serine threonine-protein kinase
ENOG410XNRC	S	GPN-loop GTPase 1
ENOG410XNRE	S	Tubulin, gamma complex associated protein 2
ENOG410XNRF	S	Zinc finger, FYVE domain containing
ENOG410XNRG	S	CWF19-like 1, cell cycle control (S. pombe)
ENOG410XNRH	J	piwi-like
ENOG410XNRI	S	NA
ENOG410XNRJ	O	C. elegans
ENOG410XNRK	O	DnaJ domain
ENOG410XNRM	S	solute carrier family 25 (aspartate glutamate carrier), member
ENOG410XNRP	S	alpha-l-glutamate ligase-like protein
ENOG410XNRQ	S	Phage Portal Protein
ENOG410XNRR	K	LuxR family Transcriptional regulator
ENOG410XNRS	S	GTP-binding nuclear protein
ENOG410XNRT	L	Pfam:Transposase_36
ENOG410XNRU	S	NA
ENOG410XNRV	E	(ABC) transporter
ENOG410XNRX	T	calcium calmodulin-dependent protein kinase
ENOG410XNRY	S	Methyl-accepting chemotaxis
ENOG410XNRZ	S	NC domain-containing protein
ENOG410XNS0	S	NA
ENOG410XNS1	S	MOB family member 4, phocein
ENOG410XNS2	S	Enoyl-CoA hydratase
ENOG410XNS3	S	filamin ABP280 repeat-containing domain protein
ENOG410XNS4	E	amino acid
ENOG410XNS5	S	NA
ENOG410XNS6	S	chromosome 6 open reading frame 170
ENOG410XNS9	S	Protein of unknown function (DUF1552)
ENOG410XNSA	T	Histidine kinase
ENOG410XNSB	G	glycoside hydrolase family 55 protein
ENOG410XNSC	S	sphingomyelin synthase
ENOG410XNSD	P	Putrescine ABC transporter, permease
ENOG410XNSE	S	NA
ENOG410XNSF	S	radical SAM domain protein
ENOG410XNSG	S	NA
ENOG410XNSH	G	Major Facilitator Superfamily
ENOG410XNSI	G	extracellular solute-binding protein, family 1
ENOG410XNSJ	S	NA
ENOG410XNSK	S	oligomeric mucus gel-forming
ENOG410XNSM	S	chromosome 18 open reading frame 63
ENOG410XNSN	S	Diphosphoinositol pentakisphosphate kinase
ENOG410XNSP	Q	Long-chain-fatty-acid--CoA ligase
ENOG410XNSQ	S	WD repeat domain 35
ENOG410XNSR	T	erythroblastic leukemia viral oncogene homolog
ENOG410XNSS	S	kiaa0196
ENOG410XNST	G	Major Facilitator superfamily
ENOG410XNSV	S	NA
ENOG410XNSW	T	Cyclin-dependent kinase-like
ENOG410XNSX	U	beta receptor associated protein 1
ENOG410XNSY	S	NA
ENOG410XNSZ	S	NA
ENOG410XNT0	S	NA
ENOG410XNT1	S	Short-chain dehydrogenase reductase Sdr
ENOG410XNT2	O	solute carrier family 25 (mitochondrial iron transporter), member
ENOG410XNT3	G	hydrolase family 43
ENOG410XNT5	P	Binding-protein-dependent transport system inner membrane component
ENOG410XNT6	S	NA
ENOG410XNT7	L	atp-dependent rna helicase
ENOG410XNT8	S	repeat protein
ENOG410XNT9	O	Peroxisomal biogenesis factor 6
ENOG410XNTA	G	Glycoside hydrolase, family 9
ENOG410XNTB	K	Transcriptional regulator, LysR family
ENOG410XNTC	S	NA
ENOG410XNTD	S	Achalasia, adrenocortical insufficiency, alacrimia
ENOG410XNTG	S	PAC2 family
ENOG410XNTH	S	ATpase involved in DNA repair
ENOG410XNTI	L	purine NTP-dependent helicase activity
ENOG410XNTK	S	Isoaspartyl dipeptidase
ENOG410XNTM	U	signal sequence receptor, alpha
ENOG410XNTN	S	Enoyl-CoA hydratase/isomerase family
ENOG410XNTP	S	VPS9 domain protein
ENOG410XNTQ	S	Echinoderm microtubule associated protein like
ENOG410XNTS	I	acyl-CoA dehydrogenase
ENOG410XNTU	O	protein ubiquitination
ENOG410XNTV	S	NA
ENOG410XNTW	S	CUGBP, Elav-like family member
ENOG410XNTZ	S	NA
ENOG410XNU0	S	Minichromosome maintenance complex binding protein
ENOG410XNU1	C	Aldo keto reductase
ENOG410XNU3	H	tocopherol cyclase
ENOG410XNU4	S	ciab protein
ENOG410XNU5	S	malectin
ENOG410XNU6	S	Neurexin
ENOG410XNU8	M	glycosyl transferase group 1
ENOG410XNU9	S	retinoblastoma binding protein
ENOG410XNUA	S	ankyrin-repeat and fibronectin type III domain containing 1
ENOG410XNUB	S	Midnolin
ENOG410XNUC	S	NA
ENOG410XNUD	S	NA
ENOG410XNUE	S	CysPc
ENOG410XNUF	S	Extracellular nuclease
ENOG410XNUG	G	major facilitator superfamily domain containing 3
ENOG410XNUH	P	TonB-dependent receptor
ENOG410XNUI	S	FAD binding domain-containing protein
ENOG410XNUJ	P	The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system (By similarity)
ENOG410XNUK	S	ADP-ribosylation factor-like
ENOG410XNUM	S	Luciferase-like monooxygenase
ENOG410XNUN	S	Short-chain dehydrogenase reductase Sdr
ENOG410XNUP	S	tetratricopeptide
ENOG410XNUQ	S	NA
ENOG410XNUR	U	Glutamate receptor, ionotropic
ENOG410XNUS	S	Target of EGR1, member 1 (Nuclear)
ENOG410XNUT	L	helicase activity
ENOG410XNUV	T	histidine kinase
ENOG410XNUW	S	Fibronectin type III domain containing
ENOG410XNUX	U	Nuclear pore complex
ENOG410XNUY	S	ABC transporter ATP-Binding protein
ENOG410XNUZ	S	Cerebellar degeneration-related protein
ENOG410XNV0	S	Chromosome segregation (SMC) protein
ENOG410XNV1	M	Polysaccharide biosynthesis protein
ENOG410XNV2	U	two pore segment channel 2
ENOG410XNV3	S	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
ENOG410XNV4	S	transmembrane protein 62
ENOG410XNV5	O	DnaJ (Hsp40) homolog, subfamily C, member 21
ENOG410XNV6	C	cytochrome C family protein
ENOG410XNV7	O	aspartic
ENOG410XNV8	S	Protein of unknown function (DUF3141)
ENOG410XNV9	S	ABC transporter, (ATP-binding protein)
ENOG410XNVA	S	endonuclease exonuclease phosphatase
ENOG410XNVB	K	LysR family (Transcriptional regulator
ENOG410XNVC	G	Major Facilitator
ENOG410XNVD	S	NA
ENOG410XNVE	G	Major Facilitator superfamily
ENOG410XNVF	S	trafficking protein particle complex
ENOG410XNVG	A	ATP-dependent RNA helicase involved in mRNA splicing. May destabilize the U1 5'-splice site duplex to permit an effective competition for the 5'-splice site by the U6 snRNA, resulting in the switch between U1 and U6 at the 5'-splice site. May also act to unwind the U4 U6 base-pairing interaction in the U4 U6 U5 snRNP, facilitating the first covalent step of splicing
ENOG410XNVH	S	Solute carrier family 25 (Mitochondrial carrier
ENOG410XNVI	T	dual specificity protein phosphatase
ENOG410XNVK	P	Receptor
ENOG410XNVN	V	Efflux transporter rnd family, mfp subunit
ENOG410XNVP	S	tonB-dependent Receptor
ENOG410XNVQ	S	Guanine nucleotide binding protein (G protein) alpha
ENOG410XNVR	S	transglutaminase domain-containing protein
ENOG410XNVS	S	two component regulator three y
ENOG410XNVT	K	RNA polymerase II associated protein 1
ENOG410XNVU	S	Peroxisomal targeting signal
ENOG410XNVW	S	Acetyltransferase (GNAT) family
ENOG410XNVX	S	LRR_TYP
ENOG410XNVY	S	Dedicator of cytokinesis
ENOG410XNVZ	I	acyl-CoA dehydrogenase
ENOG410XNW0	U	transmembrane transport
ENOG410XNW1	S	)-reductase
ENOG410XNW2	S	NA
ENOG410XNW3	S	SET domain-containing protein
ENOG410XNW5	G	hydrolase family 2, sugar binding
ENOG410XNW6	S	phage protein
ENOG410XNW7	S	wilms tumor 1 associated protein
ENOG410XNW8	K	General transcription factor IIIC, polypeptide 3, 102kDa
ENOG410XNW9	S	(ABC) transporter
ENOG410XNWA	G	hydrolase family 62 protein
ENOG410XNWC	S	Tubulin tyrosine ligase-like family, member
ENOG410XNWD	S	abc transporter atp-binding protein
ENOG410XNWE	S	K05989 alpha-L-rhamnosidase EC 3.2.1.40
ENOG410XNWF	S	atp gtp-binding protein
ENOG410XNWH	S	NA
ENOG410XNWI	T	inositol polyphosphate-5-phosphatase, 40kDa
ENOG410XNWJ	S	HEAT repeat containing 6
ENOG410XNWK	S	Protein of unknown function (DUF3179)
ENOG410XNWM	S	Pfam:DUF3424
ENOG410XNWN	S	WD repeat domain 90
ENOG410XNWP	S	large, multifunctional secreted protein
ENOG410XNWQ	T	ribosomal protein s6
ENOG410XNWR	E	ABC transporter substrate-binding protein
ENOG410XNWS	S	SusD family
ENOG410XNWT	S	Solute carrier family 25 member
ENOG410XNWU	S	short-chain dehydrogenase reductase
ENOG410XNWV	U	Golgi glycoprotein 1
ENOG410XNWW	S	NA
ENOG410XNWX	S	protein 2 3 complex subunit
ENOG410XNWY	S	Nucleolar protein
ENOG410XNWZ	S	myosin XVB pseudogene
ENOG410XNX0	S	NA
ENOG410XNX1	S	monooxygenase
ENOG410XNX2	S	tonB-dependent receptor plug
ENOG410XNX3	G	Major Facilitator superfamily
ENOG410XNX4	S	NA
ENOG410XNX6	S	ddb1 and cul4 associated factor 13
ENOG410XNX7	S	TraG-like protein, N-terminal region
ENOG410XNX8	S	kelch-like
ENOG410XNX9	S	Abortive infection protein
ENOG410XNXA	G	Major Facilitator Superfamily
ENOG410XNXB	S	Tetratricopeptide repeat domain 27
ENOG410XNXC	U	Vacuolar Protein
ENOG410XNXD	S	fad dependent oxidoreductase
ENOG410XNXF	T	Histidine kinase
ENOG410XNXH	U	Component of oligomeric Golgi complex 3
ENOG410XNXI	S	NA
ENOG410XNXJ	P	tonB-dependent Receptor
ENOG410XNXK	T	membrane associated guanylate kinase, WW and PDZ domain containing
ENOG410XNXM	S	Family with sequence similarity 50, member
ENOG410XNXN	S	Quinol cytochrome c oxidoreductase membrane protein
ENOG410XNXP	T	Casein Kinase
ENOG410XNXQ	S	Luciferase-like monooxygenase
ENOG410XNXS	G	beta-amylase
ENOG410XNXT	S	NA
ENOG410XNXU	L	X-ray repair complementing defective repair in Chinese hamster cells 6
ENOG410XNXV	S	heme-binding protein
ENOG410XNXW	S	oxidoreductase
ENOG410XNXX	S	Protein of unknown function (DUF810)
ENOG410XNXZ	S	Endonuclease
ENOG410XNY0	T	Mitogen-activated protein kinase
ENOG410XNY1	D	Cell division cycle 16 homolog (S. cerevisiae)
ENOG410XNY2	S	Short-chain dehydrogenase reductase Sdr
ENOG410XNY3	S	NA
ENOG410XNY4	L	Recombinase
ENOG410XNY5	V	ABC transporter (permease)
ENOG410XNY7	P	peptide opine nickel uptake family ABC transporter, permease protein
ENOG410XNY8	K	LysR family Transcriptional regulator
ENOG410XNY9	S	NA
ENOG410XNYA	S	Coiled-coil domain containing 138
ENOG410XNYB	U	SH3-domain GRB2-like
ENOG410XNYC	V	HlyD family secretion protein
ENOG410XNYD	S	ATP GTP-binding protein
ENOG410XNYE	G	Major facilitator superfamily MFS_1
ENOG410XNYF	I	long-chain fatty acid-CoA ligase activity
ENOG410XNYG	S	Vitamin B12 dependent methionine synthase, activation domain
ENOG410XNYH	S	PHD finger domain protein
ENOG410XNYI	K	E2F transcription factor
ENOG410XNYJ	S	Tat (Twin-arginine translocation) pathway signal sequence domain protein
ENOG410XNYM	S	chondroitin sulfate
ENOG410XNYN	S	Protein of unknown function (DUF2586)
ENOG410XNYP	S	DENN MADD domain containing
ENOG410XNYQ	S	zinc finger, FYVE domain containing 28
ENOG410XNYU	K	Transcriptional regulator
ENOG410XNYW	O	OTU domain containing
ENOG410XNYX	S	Flavin containing amine oxidoreductase
ENOG410XNYY	K	LysR family Transcriptional regulator
ENOG410XNZ0	S	U3 small nucleolar
ENOG410XNZ1	U	vacuolar protein sorting 52 homolog (S. cerevisiae)
ENOG410XNZ2	S	DM13
ENOG410XNZ4	I	Enoyl-CoA hydratase
ENOG410XNZ5	S	sulfotransferase
ENOG410XNZ6	K	Transcription factor
ENOG410XNZ7	S	Oligomeric golgi complex
ENOG410XNZ8	S	NA
ENOG410XNZ9	S	carnitine
ENOG410XNZA	S	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
ENOG410XNZB	M	glycosyl transferase group 1
ENOG410XNZC	S	oligo-peptide transporter
ENOG410XNZD	G	alphaglucosidase
ENOG410XNZE	S	metallophosphoesterase
ENOG410XNZF	P	receptor
ENOG410XNZG	G	major facilitator superfamily
ENOG410XNZH	S	Protein of unknown function (DUF3445)
ENOG410XNZI	S	NA
ENOG410XNZJ	K	LysR substrate binding domain
ENOG410XNZK	S	Tripartite motif containing 62
ENOG410XNZM	S	Protein arginine n-methyltransferase
ENOG410XNZN	G	Extracellular solute-binding protein family 1
ENOG410XNZQ	S	Peptidoglycan binding domain protein
ENOG410XNZR	S	Tetratricopeptide tpr_2 repeat protein
ENOG410XNZS	S	immunoglobulin superfamily member
ENOG410XNZT	K	Transcriptional regulator
ENOG410XNZU	P	Binding-protein-dependent transport systems inner membrane component
ENOG410XNZV	S	member RAS oncogene family
ENOG410XNZW	S	domain protein
ENOG410XNZX	S	Permease yjgp yjgq family
ENOG410XNZY	U	NADPH Oxidase
ENOG410XNZZ	S	methyltransferase like 13
ENOG410XP00	J	DEAD-box RNA helicase-like protein required for pre-18S rRNA processing, specifically at sites A0, A1, and A2 (By similarity)
ENOG410XP01	O	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
ENOG410XP02	S	Protein of unknown function (DUF1341)
ENOG410XP03	U	ADAM metallopeptidase with thrombospondin type 1 motif, 4
ENOG410XP04	S	Mannosidase alpha class
ENOG410XP05	S	HEAT repeat containing
ENOG410XP06	S	Phosphatidylinositol 4-kinase type
ENOG410XP07	J	eukaryotic translation initiation factor 2c
ENOG410XP08	J	FtsJ methyltransferase domain containing 2
ENOG410XP09	S	transcriptional regulator, LuxR family
ENOG410XP0A	L	chromatin modification
ENOG410XP0B	O	Calpain-like cysteine peptidase
ENOG410XP0C	S	Binding-protein-dependent transport systems inner membrane component
ENOG410XP0D	S	Methyltransferase
ENOG410XP0F	S	debranching enzyme
ENOG410XP0G	S	NA
ENOG410XP0J	S	dymeclin
ENOG410XP0K	L	replication factor c
ENOG410XP0M	S	GTP-Binding protein
ENOG410XP0N	S	NA
ENOG410XP0P	O	ubiquitin carboxyl-terminal hydrolase
ENOG410XP0R	S	NA
ENOG410XP0S	S	NA
ENOG410XP0T	S	lysine (K)-specific demethylase
ENOG410XP0U	S	Zinc finger, FYVE domain containing 20
ENOG410XP0V	M	glycosyltransferase
ENOG410XP0W	S	Prickle homolog
ENOG410XP0X	E	extracellular ligand-binding receptor
ENOG410XP0Y	S	alpha/beta hydrolase fold
ENOG410XP0Z	I	C-8 sterol isomerase
ENOG410XP10	P	periplasmic
ENOG410XP11	S	NA
ENOG410XP12	S	Na solute symporter
ENOG410XP13	S	Nucleoside transport protein
ENOG410XP15	S	UV-stimulated scaffold protein A
ENOG410XP16	S	Short-chain dehydrogenase reductase Sdr
ENOG410XP17	T	Histidine kinase
ENOG410XP18	S	Poly (ADP-ribose) polymerase
ENOG410XP1A	S	NA
ENOG410XP1B	S	Ragb susd domain-containing protein
ENOG410XP1C	S	phosphoadenosine phosphosulfate reductase
ENOG410XP1D	S	NA
ENOG410XP1E	J	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
ENOG410XP1F	S	tetratricopeptide repeat domain 5
ENOG410XP1H	K	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)
ENOG410XP1J	S	NA
ENOG410XP1M	S	PBS lyase HEAT domain protein repeat-containing protein
ENOG410XP1R	S	NA
ENOG410XP1S	S	solute carrier family 35 member
ENOG410XP1T	O	MYC binding protein 2, E3 ubiquitin protein ligase
ENOG410XP1U	S	small GTPase mediated signal transduction
ENOG410XP1V	S	NA
ENOG410XP1W	S	BTB (POZ) domain containing 7
ENOG410XP1X	K	Transcriptional regulator (LuxR family
ENOG410XP1Y	S	NA
ENOG410XP1Z	S	wD repeat domain
ENOG410XP20	S	RNA binding motif protein
ENOG410XP21	O	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
ENOG410XP23	S	map-kinase activating death domain
